t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ

0,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,-0.05770247,1.928949,0.1362684,359.9209,339.917,2.336903,0.4115145,1.949337,0.3077901,359.9209,339.917,2.336903

0.02,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,-0.05770247,1.928949,0.1362684,359.9209,339.917,2.336903,0.4115145,1.949337,0.3077901,359.9209,339.917,2.336903

0.12,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.1623258,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.1757169,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.1825506,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.1994011,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.2245906,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.2495902,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.2749035,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3008302,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3246557,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3495846,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3749253,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.3996676,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.4256727,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.4499798,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.4753046,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5002582,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5252095,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.549733,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5746516,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.5995883,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.6247417,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.6508004,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.6745466,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.6995966,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.7243467,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.7498821,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.7742229,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.7996113,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.8245449,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.8492694,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.8752768,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.8989966,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.9249941,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.9494474,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.9747398,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

0.9999172,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.024964,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

1.049686,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903,0.2147285,0.9399752,0.237326,359.9209,339.917,2.336903

