t,headX,headY,headZ,headRotX,headRotY,headRotZ,leftHandX,leftHandY,leftHandZ,leftHandRotX,leftHandRotY,leftHandRotZ,leftHandVelX,leftHandVelY,leftHandVelZ,leftHandAngVelX,leftHandAngVelY,leftHandAngVelZ,rightHandX,rightHandY,rightHandZ,rightHandRotX,rightHandRotY,rightHandRotZ,rightHandVelX,rightHandVelY,rightHandVelZ,rightHandAngVelX,rightHandAngVelY,rightHandAngVelZ

12.88,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,-2.572327E-38,-7.34684E-40,0

12.89341,-0.1858658,0.841503,0.5742769,0.2841447,264.1637,352.2002,-0.1858658,0.841503,0.5742769,0.2841447,264.1637,352.2002,0,0,0,0,0,0,-0.1858658,0.841503,0.5742769,0.2841447,264.1637,352.2002,0,0,0,0,0,0

12.9098,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

12.92202,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1357079,0.9907361,-0.004959241,0,0.100076,-0.01868798

12.93433,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

12.94736,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

12.9595,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

12.97222,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

12.98447,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

12.997,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.00976,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.02223,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,-0.002030715,0,-3.083738E-20,6.404214E-41

13.03506,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.04672,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.05932,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.07207,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.08483,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.09681,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,-0.002030715,0,-3.083738E-20,6.404214E-41

13.10936,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.12267,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.13451,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.14723,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.15953,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.17197,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.18445,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.1979,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.20943,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.22179,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.1870155,0.8366831,0.5750377,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.25185,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.26123,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.27366,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.28538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.29828,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.31064,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.32319,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.33593,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.34828,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.36057,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.37278,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.3853,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.39851,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.41025,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.42274,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,NaN,NaN,NaN,-8.393778E-43,NaN,NaN,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.143425,0.9896588,-0.002030715,0,0.1056942,-0.01735795

13.43551,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0

13.44793,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0,-0.3740311,1.673366,1.150075,0.1163515,263.8524,351.7538,0,0,0,0,0,0

